timestamp,trigger_reason,eda,temp,resp,acc,model_prediction,confidence,activity,feeling_note,user_label
16:53:28,mismatch,8.8795,35.1008,-13.4109,0.9157,0,unknown,Dismissed,,
16:53:32,mismatch,9.2884,35.073,-10.5835,0.9173,0,unknown,Dismissed,,
16:53:39,mismatch,8.9382,35.0514,3.6697,0.9104,0,unknown,Dismissed,,
16:53:41,mismatch,8.8581,35.0699,2.5314,0.9179,0,unknown,Dismissed,,
16:53:44,mismatch,9.0595,35.0606,2.9099,0.9197,0,unknown,Dismissed,,
16:53:49,mismatch,8.847,35.0359,-1.6663,0.8895,0,unknown,Dismissed,,
16:53:51,mismatch,8.9649,34.9495,0.1724,0.9192,0,unknown,Dismissed,,
16:53:53,mismatch,9.0527,35.0174,-4.0604,0.9212,0,unknown,Dismissed,,
16:53:55,mismatch,8.9817,34.9742,-3.7521,0.9132,0,unknown,Dismissed,,
16:53:57,mismatch,8.8657,35.0004,-3.5416,0.9151,0,unknown,Dismissed,,
16:54:00,mismatch,8.8032,34.9988,-2.7191,0.9099,0,unknown,Dismissed,,
16:54:02,anomaly,8.773,35.0312,14.8666,0.9132,1,unknown,Dismissed,,
16:54:05,mismatch,8.9935,35.0112,1.5457,0.9188,0,unknown,Dismissed,,
16:54:07,mismatch,8.9458,34.9788,-2.4353,0.909,0,unknown,Dismissed,,
16:54:09,mismatch,8.8272,34.9772,-3.7491,0.927,0,unknown,Dismissed,,
16:54:13,mismatch,8.9878,34.9695,8.1802,0.9162,0,unknown,Dismissed,,
16:54:15,mismatch,8.9436,34.9896,-4.3747,0.9014,0,unknown,Dismissed,,
16:54:18,mismatch,8.8684,34.9649,-9.4299,0.9004,0,unknown,Dismissed,,
16:54:21,mismatch,8.8367,34.9433,-9.2804,0.9205,0,unknown,Dismissed,,
16:54:23,mismatch,8.7757,34.8724,-4.95,0.9048,0,unknown,Dismissed,,
16:54:25,mismatch,8.7589,34.9402,-1.4603,0.9309,0,unknown,Dismissed,,
16:54:28,mismatch,8.7517,34.8354,11.1801,0.9244,0,unknown,Dismissed,,
16:54:30,mismatch,8.7818,34.9124,3.331,0.889,0,unknown,Dismissed,,
16:54:32,mismatch,8.7688,34.9186,-0.6973,0.9174,0,unknown,Dismissed,,
16:54:33,mismatch,8.7822,34.9094,-2.7023,0.921,0,unknown,Dismissed,,
16:54:36,mismatch,8.7601,34.9016,-0.8499,0.8784,0,unknown,Dismissed,,
16:54:37,mismatch,8.8192,34.8878,10.6903,0.9261,0,unknown,Dismissed,,
16:54:39,mismatch,8.8852,34.8909,1.9379,0.9059,0,unknown,Dismissed,,
16:54:41,mismatch,8.8806,34.8647,-6.3431,0.9182,0,unknown,Dismissed,,
16:54:43,mismatch,8.8985,34.8308,-5.5557,0.9144,0,unknown,Dismissed,,
16:54:46,mismatch,8.9531,34.8554,-3.5873,0.9163,0,unknown,Dismissed,,
16:54:48,mismatch,8.9783,34.7631,-2.1774,0.9242,0,unknown,Dismissed,,
16:54:50,mismatch,8.9283,34.8416,-0.6516,0.9166,0,unknown,Dismissed,,
16:54:52,mismatch,8.9085,34.8031,5.0583,0.9207,0,unknown,Dismissed,,
16:54:55,mismatch,8.8718,34.8293,7.3257,0.9162,0,unknown,Dismissed,,
16:54:56,mismatch,8.8703,34.797,-1.1673,0.9188,0,unknown,Dismissed,,
16:54:58,mismatch,8.8627,34.7785,-1.1215,0.9173,0,unknown,Dismissed,,
11:52:02,mismatch,9.2777,34.9418,-0.8957,0.8721,0,unknown,Dismissed,,
12:01:11,disagreement,8.9466,34.6324,4.2313,0.9153,1,unknown,Dismissed,,
