eda,temp,resp,acc,ecg,random_forest,logistic_regression,ensemble
-0.6483,9.2578,-0.7158,0.0776,0.2832,1,1,1
-10.7251,6.9443,0.6787,0.3564,-1.6857,1,1,1
-10.7251,6.9443,0.6787,0.3564,-1.6857,1,1,1
19.4554,4.9878,-2.3047,0.5991,1.4258,1,1,1
16.7204,4.5261,4.0946,-1.854,-0.0947,1,1,1
16.7204,4.5261,4.0946,-1.854,-0.0947,1,1,1
16.7204,4.5261,4.0946,-1.854,-0.0947,1,1,1
16.7204,4.5261,4.0946,-1.854,-0.0947,1,1,1
16.7204,4.5261,4.0946,-1.854,-0.0947,1,1,1
16.7204,4.5261,4.0946,-1.854,-0.0947,1,1,1
16.7204,4.5261,4.0946,-1.854,-0.0947,1,1,1
-7.484,3.6849,-0.0473,-0.0764,0.0399,1,1,1
-7.484,3.6849,-0.0473,-0.0764,0.0399,0,0,1
16.6836,1.4085,-1.4486,-0.8724,0.5673,1,1,1
18.8959,6.9713,-1.5223,-1.4355,0.0171,1,1,1
15.318,11.0844,0.1016,-1.5927,0.375,1,1,1
17.7879,8.876,0.8375,-0.434,-0.7439,1,1,1
17.5376,4.7979,4.6524,-1.4825,1.3435,1,1,1
18.145,4.9878,-1.3019,-0.9352,0.333,1,1,1
18.8076,5.3955,-1.6492,-5.23,-0.1549,1,1,1
17.7622,5.4224,6.9814,-2.4891,-0.5963,1,1,1
14.1713,8.2229,-2.2138,-1.4067,-2.6029,1,1,1
16.7131,15.7869,-0.182,-0.8129,0.1547,1,1,1
15.6953,10.7845,0.0164,-1.2154,0.2398,1,1,1
14.1713,8.2229,-2.2138,-1.4067,-2.6029,1,1,1
16.3799,4.3363,1.6899,-1.8344,0.3652,1,1,1
18.4634,3.1429,-0.4777,-1.1581,1.5328,1,1,1
17.9425,4.8794,-1.7228,-2.0685,0.2191,1,1,1
17.9425,4.8794,-1.7228,-2.0685,0.2191,1,1,1
-8.3876,4.0381,2.0294,-1.1626,-0.013,1,0,1
-8.3876,4.0381,2.0294,-1.1626,-0.013,1,0,1
20.6536,3.5765,-1.2099,-1.7859,0.2762,1,0,1
20.6536,3.5765,-1.2099,-1.7859,0.2762,1,0,1
20.6536,3.5765,-1.2099,-1.7859,0.2762,1,0,1
19.1517,2.1668,-2.4112,-1.0201,0.2404,1,0,1
19.1517,2.1668,-2.4112,-1.0201,0.2404,1,0,1
19.0376,4.0651,-0.0154,-1.188,-0.6197,1,0,1
19.0873,2.7902,-1.2496,0.2994,0.8395,1,0,1
18.999,2.9256,-0.9577,-3.0126,1.3523,1,1,1
18.999,2.9256,-0.9577,-3.0126,1.3523,1,0,1
